Date,Price,Open,High,Low,Vol.,Change %
2019-09-20,17971,17971,18322,17884,85.89K,0.00%
2019-09-23,18015,17971,18410,17884,85.30K,0.24%
2019-09-24,18848,17971,18848,17971,141.63K,4.62%
2019-09-25,18497,18585,19023,18497,106.14K,-1.86%
2019-09-26,18454,18629,18760,18410,77.37K,-0.23%
2019-09-27,18103,18454,18541,18103,142.52K,-1.90%
2019-09-30,17840,18103,18147,17796,143.87K,-1.45%
2019-10-01,17621,17796,18234,17621,114.37K,-1.23%
2019-10-02,17928,17621,18234,17621,142.01K,1.74%
2019-10-03,18234,17884,18366,17840,72.13K,1.71%
2019-10-04,18147,18410,18673,18147,88.25K,-0.48%
2019-10-07,18147,18147,18234,17884,32.00K,0.00%
2019-10-08,17971,18147,18147,17884,26.05K,-0.97%
2019-10-09,17971,17884,18147,17884,35.57K,0.00%
2019-10-10,18454,17971,18673,17971,165.71K,2.69%
2019-10-11,18760,18541,18848,18191,136.18K,1.66%
2019-10-14,18322,18848,19023,18322,143.03K,-2.33%
2019-10-15,18585,18322,18629,18278,148.32K,1.44%
2019-10-16,19155,18673,19199,18497,271.29K,3.07%
2019-10-17,19856,19111,19900,19023,321.07K,3.66%
2019-10-18,19418,19856,19856,19286,120.10K,-2.21%
2019-10-21,18892,19637,20119,18892,326.78K,-2.71%
2019-10-22,18804,18848,19199,18541,404.03K,-0.47%
2019-10-23,19111,18673,19111,18673,83.45K,1.63%
2019-10-24,19462,19199,19593,19199,150.47K,1.84%
2019-10-25,19286,19462,19637,19155,171.57K,-0.90%
2019-10-28,19243,19462,19637,18848,268.49K,-0.22%
2019-10-29,19023,19155,19286,18936,89.32K,-1.14%
2019-10-30,19067,19023,19243,19023,89.43K,0.23%
2019-10-31,19067,19067,19111,18936,75.96K,0.00%
2019-11-01,18980,19023,19067,18629,145.71K,-0.46%
2019-11-04,18936,19111,19111,18892,68.78K,-0.23%
2019-11-05,19286,18892,19374,18848,86.11K,1.85%
2019-11-06,19330,19286,19637,19199,100.60K,0.23%
2019-11-07,19155,19374,19374,19111,27.15K,-0.91%
2019-11-08,19155,19155,19374,19155,46.06K,0.00%
2019-11-11,19286,19155,19681,19155,60.65K,0.68%
2019-11-12,19111,19462,19462,19111,42.33K,-0.91%
2019-11-13,19111,19023,19199,18936,45.55K,0.00%
2019-11-14,18410,19111,19111,18322,133.83K,-3.67%
2019-11-15,18322,18629,18629,18322,36.92K,-0.48%
2019-11-18,18191,18322,18322,17884,90.19K,-0.71%
2019-11-19,18234,17971,18278,17884,61.95K,0.24%
2019-11-20,18541,18454,18717,18410,31.18K,1.68%
2019-11-21,18322,18541,18585,18322,47.40K,-1.18%
2019-11-22,17971,18322,18410,17971,45.88K,-1.92%
2019-11-25,17752,17840,17971,17752,46.50K,-1.22%
2019-11-26,17971,17796,18322,17796,5.35K,1.23%
2019-11-27,17752,18059,18234,17752,25.55K,-1.22%
2019-11-28,17708,17752,18103,17708,50.19K,-0.25%
2019-11-29,18077,18354,18354,17801,38.88K,2.08%
2019-12-02,17801,18077,18077,17708,33.13K,-1.53%
2019-12-03,17801,17616,17893,17432,66.58K,0.00%
2019-12-04,17801,17616,17847,17339,42.25K,0.00%
2019-12-05,17754,17616,17801,17524,44.52K,-0.26%
2019-12-06,17754,17754,17754,17478,45.89K,0.00%
2019-12-09,17801,17754,17985,17570,29.98K,0.26%
2019-12-10,17524,17616,17939,17339,69.93K,-1.56%
2019-12-11,17524,17754,17801,17339,48.12K,0.00%
2019-12-12,17708,17524,17708,17524,27.72K,1.05%
2019-12-13,17524,17708,17708,17432,42.69K,-1.04%
2019-12-16,17616,17524,17616,17339,22.43K,0.52%
2019-12-17,17247,17524,17616,17063,110.49K,-2.09%
2019-12-18,17155,17247,17386,17109,56.96K,-0.53%
2019-12-19,17063,17155,17155,16509,247.19K,-0.54%
2019-12-20,17063,17017,17063,16740,105.99K,0.00%
2019-12-23,17063,16740,17155,16602,130.41K,0.00%
2019-12-24,17063,17063,17247,16971,52.57K,0.00%
2019-12-25,17524,17063,17524,16694,59.85K,2.70%
2019-12-26,17985,17708,17985,17339,74.45K,2.63%
2019-12-27,17801,17708,17985,17201,164.22K,-1.02%
2019-12-30,17985,17801,17985,17432,180.87K,1.03%
2019-12-31,17939,17985,18031,17432,121.73K,-0.26%
2020-01-02,18077,17939,18077,17801,60.08K,0.77%
2020-01-03,18262,18077,18308,17801,65.67K,1.02%
2020-01-06,17662,18262,18262,17616,75.08K,-3.29%
2020-01-07,18262,17662,18354,17662,62.04K,3.40%
2020-01-08,18077,18262,18262,17616,112.72K,-1.01%
2020-01-09,17524,18077,18077,17524,159.09K,-3.06%
2020-01-10,17801,17524,17801,17478,57.67K,1.58%
2020-01-13,17847,17939,17939,17524,49.39K,0.26%
2020-01-14,17801,17801,17801,17524,55.38K,-0.26%
2020-01-15,17616,17801,17801,17524,51.97K,-1.04%
2020-01-16,17708,17524,17801,17432,48.23K,0.52%
2020-01-17,17616,17708,17708,17339,63.34K,-0.52%
2020-01-20,17616,17662,17662,17339,54.72K,0.00%
2020-01-21,17616,16878,17616,16878,41.39K,0.00%
2020-01-22,17708,17616,17708,17247,40.94K,0.52%
2020-01-30,17662,17616,17662,16971,40.88K,-0.26%
2020-01-31,17432,17017,17616,16971,39.21K,-1.30%
2020-02-03,17155,16463,17155,16233,359.83K,-1.59%
2020-02-04,16786,17155,17155,16509,122.86K,-2.15%
