Date,Price,Open,High,Low,Vol.
2020-11-03,935.41,936.73,937.57,932.18,318.70K
2020-11-04,939.76,935.41,943.56,933.86,350.87K
2020-11-05,937.75,940.32,945.51,937.75,304.33K
2020-11-06,938.29,939.73,941.20,934.63,268.23K
2020-11-09,951.99,942.15,951.99,942.15,393.20K
2020-11-10,951.90,962.68,963.47,951.90,456.75K
2020-11-11,952.22,954.46,956.65,947.61,376.51K
2020-11-12,959.28,953.97,959.28,953.62,343.91K
2020-11-13,966.29,959.56,966.29,959.13,457.83K
2020-11-16,950.79,970.11,972.98,950.50,518.93K
2020-11-17,968.90,955.52,968.90,953.22,400.96K
2020-11-18,973.53,969.48,974.30,966.32,478.68K
2020-11-19,983.26,975.32,983.26,974.33,500.12K
2020-11-20,990.00,984.71,990.00,980.72,501.05K
2020-11-23,994.19,991.87,995.90,985.38,489.69K
2020-11-24,995.76,996.55,997.99,984.92,550.07K
2020-11-25,999.94,1000.39,1002.31,996.80,475.74K
2020-11-26,1005.97,999.24,1005.97,994.91,493.56K
2020-11-27,1010.22,1006.68,1010.22,1004.00,446.44K
2020-11-30,1003.08,1011.82,1012.50,1002.61,532.93K
2020-12-01,1008.87,988.71,1008.87,988.71,583.31K
2020-12-02,1014.32,1008.77,1015.86,1007.91,684.53K
2020-12-03,1019.80,1016.73,1020.35,1014.06,518.91K
2020-12-04,1021.49,1019.80,1025.17,1018.67,553.59K
2020-12-07,1029.98,1024.34,1030.41,1022.14,520.34K
2020-12-08,1029.26,1029.98,1032.58,1025.63,527.67K
2020-12-09,1039.13,1029.26,1039.55,1029.26,586.05K
2020-12-10,1030.91,1041.65,1044.10,1030.91,626.45K
